,ori_gecko_smoment_flux_cb,ori_gecko_smoment_subunit_flux_cb,mw_cb,kcat_cb
ETOHtrpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_ethso3_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
ETHAt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_etha_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FEENTERtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_enter_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FEENTERtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_enlipa_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_eca4colipa_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
DXYLONtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
DXYLONtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
DXYLONtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
EX_dxylnt_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
DXYLONtpp_reverse,0.0 # nan # nan,0.0 # 0.0 # nan # nan,nan # nan,nan # nan # nan # nan # nan # nan # nan
DURItex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
DURIt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
DURItex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_duri_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_dump_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_dtmp_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
TDSR2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 1.25 # nan
TDSR1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 1.25 # nan
DOXRBCNtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 4.57 # nan
EX_doxrbcn_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_dopa_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
DMSOtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_dmso_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
DMSOtpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_dms_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
DINSt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_din_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_dimp_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
DHPStex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
DHPStex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_dhps_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
DHPStr,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 24.0 # nan
DHAtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # -0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_dha_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
DHAtpp_reverse,0.0 # nan # nan,0.0 # 0.0 # nan # nan,nan # nan,nan # nan # nan # nan # nan # nan # nan
DGSNt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_dgsn_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_dgmp_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
DDCAtexi,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_ddca_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
DCYTtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
DCYTt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
DCYTtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_dcyt_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_dcmp_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_dca_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_damp_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
DADNtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
DADNt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
DADNtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_dad_2_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CYTDt2pp_copy1,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
CYTDt2pp_copy2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_cytd_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CYTDt2pp_copy2_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
CYSItex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
CYSItex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
CYSItpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 30.0 # nan
EX_cys__L_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CYStpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_cys__D_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CYNTt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 30.0 # nan
EX_cynt_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_cyan_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CU2tpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 300.0 # nan
EX_cu2_e,0.0 # -0.0 # -0.0,0.0 # 0.0 # -0.0 # -0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_cu_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CUt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
CUt3,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
CTBTt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
CTBTt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
CSNt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_csn_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CS1tex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
CS1tex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
EX_cs1_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CRNt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
CRNt7pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_crn_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CRNt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
CRNDt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_crn__D_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CRNDt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
CRNt8pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
CPGNUtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_cpgn_un_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CPGNUtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_cpgn_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CPGNtonex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.01 # nan
LIPAHT2ex,-0.0 # 0.0 # 0.0,-0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
COBALT2tpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_cobalt2_e,0.0 # -0.0 # -0.0,0.0 # 0.0 # -0.0 # -0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
COBALT2t3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
CO2tpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_co2_e,24.0 # 24.03 # 24.03,24.0 # 18.0 # 31.04 # 31.02,nan # nan,nan # nan # nan # nan # nan # nan # nan
CO2tpp_reverse,24.0 # 24.03 # 24.03,24.0 # 18.0 # 31.04 # 31.02,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_cmp_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CMtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 4.57 # nan
EX_cm_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CLtipp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.22 # nan
EX_cl_e,0.0 # -0.0 # -0.0,0.0 # 0.0 # -0.0 # -0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CITt7pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 24.0 # nan
EX_cit_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CITt3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CHTBSptspp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.0 # nan
EX_chtbs_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CHOLATEtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 4.57 # nan
CHLt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 24.0 # nan
EX_chol_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CHLt3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 30.0 # nan
CH4tex_reverse,0.0 # nan # nan,0.0 # 0.0 # nan # nan,nan # nan,nan # nan # nan # nan # nan # nan # nan
CH4tex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_ch4_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CH4t2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_cgly_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CLBtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
CLBtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
EX_cellb_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CELBpts,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.0 # nan
CD2tpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 300.0 # nan
EX_cd2_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CD2t3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_cbl1_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CBL1tonex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.01 # nan
EX_cbi_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CBItonex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.01 # nan
CAt6pp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 30.0 # nan
EX_ca2_e,0.0 # -0.0 # -0.0,0.0 # 0.0 # -0.0 # -0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
CAt6pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 30.0 # nan
CA2t3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_butso3_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
BUTt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_but_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
BUTt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
BTNt2ipp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_btn_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
XYLabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 24.0 # nan
VALabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.02 # nan
THRabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.02 # nan
THMabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 24.0 # nan
SULFACabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.02 # nan
SLNTabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
SELabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PROGLYabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.02 # nan
PROabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.02 # nan
PGP181abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PGP180abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PGP161abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PGP160abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PGP141abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PGP140abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PGP120abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PG181abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PG180abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PG161abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PG160abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PG141abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PG140abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PG120abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PE181abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PE180abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PE161abcpp,0.07 # 0.07 # 0.07,0.07 # 0.05 # 0.04 # 0.04,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PE160abcpp,0.06 # 0.06 # 0.06,0.06 # 0.05 # 0.04 # 0.04,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PE141abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PE140abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PE120abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PA181abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PA180abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PA161abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PA160abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PA141abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PA140abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PA120abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
O16A4COLIPAabctex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
AI2abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 3.28 # nan
MSO3abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.02 # nan
METSOX1abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
METSOX2abcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
METabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.02 # nan
METDabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.02 # nan
MEPNabcpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
